100
68 176
33 31 674
5 15 312
39 61 447
41 39 616
67 3 221
21 10 883
37 24 754
6 43 919
17 5 438
51 67 277
13 39 550
60 48 880
22 30 673
28 22 219
29 36 152
15 52 12
44 28 296
9 48 206
44 24 609
67 51 678
55 65 4
3 68 657
31 68 548
22 26 254
4 55 611
18 44 410
15 62 557
8 31 808
22 64 888
18 36 630
4 3 85
53 61 443
44 5 393
19 45 498
14 35 596
7 23 875
57 27 73
14 39 52
25 33 727
61 49 1
39 27 41
58 15 942
31 47 651
6 50 417
34 19 848
27 61 689
50 37 178
54 30 600
21 38 666
64 24 788
54 16 927
50 36 307
18 62 594
50 47 611
21 34 607
57 64 351
8 64 786
15 36 668
62 35 500
67 66 211
68 27 47
15 50 7
30 27 341
27 51 962
16 3 394
65 56 420
39 3 758
13 54 992
39 43 942
63 40 267
21 31 240
61 41 665
51 68 331
51 50 304
27 23 783
5 1 358
10 39 379
52 40 291
21 42 4
60 24 966
38 27 214
25 40 309
55 14 151
59 47 874
64 46 457
45 33 477
19 9 779
8 16 404
68 7 65
8 2 761
3 66 937
45 24 395
15 40 700
43 14 815
10 54 153
14 2 364
33 68 897
67 55 380
11 20 650
63 4 584
59 6 63
5 50 164
31 65 495
61 67 976
7 48 637
14 20 796
49 43 463
18 56 393
21 49 754
62 51 288
28 45 323
49 7 666
45 21 915
35 29 172
43 66 507
31 18 972
16 15 592
2 31 686
22 32 100
67 4 446
44 14 553
48 7 420
53 55 374
6 30 265
34 48 29
24 15 962
13 12 300
39 4 401
44 62 52
6 9 459
58 61 85
27 34 911
65 13 83
38 54 301
27 11 48
33 22 880
36 31 85
35 46 306
14 46 196
31 55 676
67 31 733
31 25 768
57 1 813
30 4 205
59 5 472
56 64 613
56 26 601
40 21 380
11 29 111
16 39 318
42 7 457
37 20 162
50 5 72
29 15 397
51 49 789
43 31 281
31 21 27
15 44 958
18 59 687
23 19 596
11 65 910
54 61 138
22 63 619
52 57 277
20 56 80
4 21 109
47 59 82
15 34 46
35 19 733
29 54 87
31 66 845
20 21 148
39 20 925
54 15 52
7 9 688
16 46 91
33 890
17 20 804
15 6 592
14 4 412
22 33 387
10 23 637
23 11 163
12 23 134
19 7 697
23 1 853
18 14 735
23 19 300
1 25 90
4 7 465
20 32 285
10 33 878
23 3 616
28 31 526
20 16 884
20 17 936
21 32 145
5 31 612
7 24 863
30 21 584
1 19 833
20 25 562
33 1 53
11 1 742
8 16 418
16 10 862
20 29 793
12 17 122
22 9 642
31 19 336
2 22 767
4 2 422
29 22 614
18 27 660
18 26 813
3 33 868
19 1 926
10 3 180
3 12 595
11 8 387
8 33 865
27 9 691
22 25 423
17 8 771
22 28 404
26 7 32
3 16 824
14 29 494
33 24 390
24 20 532
30 22 940
13 32 602
17 4 738
15 30 822
23 8 685
4 12 743
7 17 160
6 29 409
22 8 327
30 9 956
33 18 663
27 16 160
12 15 282
17 23 551
25 30 836
6 31 796
9 14 245
28 25 545
10 22 254
